Field Name,Data Type,,,
Date Declined,Date,01/10/2024,,
Other player sold to (if known),Text,xx,Not known,
Flowbird BI ID,Text,,,
Deal Lead (BI),Text,,,
Perspective EBITDA (Display Field),Text,"?2,000",?0,?0
Value (display field),Text,"?2,000",?0,?0
Assets Under Advice (display field),Text,?0,?0,?0
Forecast Recurring Income (display field),Text,?0,?0,?0
Completion Payment,Text,,?150.00,
Headline Consideration (display field),Text,?0,?0,?0
Database,Text,Database,Database,Database
Entreprise Value (?m),Text,0,0,0
Recurring Income (?m),Text,0,0,0
RI Checker,Text,0.00?,0.00?,0.00?
EBITDA (?m),Text,0,0,0
Completion Payment (display field) ,Text,?0,?150,?0
People Team Lead,Text,HRBP Name 1,,
Adviser Contracts Sent,Date,06/12/2024,,
ELI Sent,Date,06/12/2024,,
ELI Received,Date,06/12/2024,,
TUPE Measures Sent,Date,06/12/2024,,
Instruction for Integration Kick Off Date,Date,06/12/2024,,
Data Meeting Held,Date,06/12/2024,,
Core Compliance CA Request Sent,Date,06/12/2024,,
First Data Request Response Received,Date,06/12/2024,,
Client Letter Sign Off Completed,Date,06/12/2024,,
Repapering Finalised and Agreed Date,Date,06/12/2024,,
Printing and Delivery Date,Date,06/12/2024,,
Confirmed Completion,Date,18/02/2025,,
Perspective Project Manager,Text,Jade Sekiwano,Stephanie Hope,
Client Portal,Text,,clientProtal_Test,
AI Solutions,Text,Make-AI,AI-Solution-Test,
Data Team Lead,Text,,Rhian Ingram,
Confirmed Completion.,Text,18/02/2025,TBC,
Remove,Text,,,
Consumer Duty Plan Signed Off,Text,,n/a,
CiC Submitted,Text,,n/a,
CiC Submitted Date,Date,,23/03/2026,
Deauthorisation Application Submitted,Date,,24/03/2026,
Deauthorisation Target Date,Date,,25/03/2026,
Deauthorisation Approved,Date,,26/03/2026,
Legal Team Lead,Text,Sam Ward,Sam Smith,Sarah Carruthers
Deal Address,Text,"Ashford, UK","Maidstone, UK","Ashford TN23 1BB, UK"
Perspective Regional Manager,Text,Garnet Ronander,Matt Broadhurst,
Test,Text,,,
Deal Lead,Text,Hamzah Umar,,
